Team_Num;Team_id;Team_Name;Logo;Shirt;Icon_Shirt
0;SKY;TEAM SKY ;Sky_logo.png;Sky_shirt.png;Sky_shirt_mini.png
1;EFD;TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE ;Education_First_logo.png;Education_First_shirt.png;Education_First_shirt_mini.png
2;ALM;AG2R LA MONDIALE ;AG2R_logo.png;AG2R_shirt.png;AG2R_shirt_mini.png
3;SUN;TEAM SUNWEB ;Sunweb_logo.png;Sunweb_shirt.png;Sunweb_shirt_mini.png
4;FST;TEAM FORTUNEO - SAMSIC ;Fortuneo-logo.png;Fortuneo_shirt.png;Fortuneo_shirt_mini.png
5;TBM;BAHRAIN - MERIDA ;Bahrain_logo.png;Bahrain_shirt.png;Bahrain_shirt_mini.png
6;MTS;MITCHELTON - SCOTT ;Mitchelton_logo.png;Mitchelton_shirt.png;Mitchelton_shirt_mini.png
7;MOV;MOVISTAR TEAM ;Movistar_logo.png;Movistar_shirt.png;Movistar_shirt_mini.png
8;BMC;BMC RACING TEAM ;BMC_logo.png;BMC_shirt.png;BMC_shirt_mini.png
9;UAD;UAE TEAM EMIRATES ;Emirates_logo.png;Emirates_shirt.png;Emirates_shirt_mini.png
10;QST;QUICK - STEP FLOORS ;Quick_Step_logo.png;Quick_Step_shirt.png;Quick_Step_shirt_mini.png
11;BOH;BORA - HANSGROHE ;Bora_logo.png;Bora_shirt.png;Bora_shirt_mini.png
12;AST;ASTANA PRO TEAM ;Astana_logo.png;Astana_shirt.png;Astana_shirt_mini.png
13;DDD;TEAM DIMENSION DATA ;Dimension_logo.png;Dimension_shirt.png;Dimension_shirt_mini.png
14;TKA;TEAM KATUSHA ALPECIN ;Katusha_logo.png;Katusha_shirt.png;Katusha_shirt_mini.png
15;GFC;GROUPAMA - FDJ ;FDJ_logo.png;FDJ_shirt.png;FDJ_shirt_mini.png
16;TLJ;TEAM LOTTO NL - JUMBO ;Lotto_Jumbo_logo.png;Lotto_Jumbo_shirt.png;Lotto_Jumbo_shirt_mini.png
17;LTS;LOTTO SOUDAL ;Lotto_Soudal_logo.png;Lotto_Soudal_shirt.png;Lotto_Soudal_shirt_mini.png
18;TDE;DIRECT ENERGIE ;Direct_Energie_logo.png;Direct_Energie_shirt.png;Direct_Energie_shirt_mini.png
19;TFS;TREK - SEGAFREDO ;Trek_logo.png;Trek_shirt.png;Trek_shirt_mini.png
20;COF;COFIDIS - SOLUTIONS CREDITS ;Cofidis_logo.png;Cofidis_shirt.png;Cofidis_shirt_mini.png
21;WGG;WANTY - GROUPE GOBERT ;Wanty_logo.png;Wanty_shirt.png;Wanty_shirt_mini.png