Rider_name,Rider_number,Team,Leader,GC_at_start_of_the_stage,GC_Total_riding_time,GC_Gap_at_start_of_stage,Finish_Time,km169.5_Group,km169.5_Position,km169.5_Elapsed_time,km169.5_Gap_to_previous_group,km169.5_Average_speed,km169.5_Current_speed,km169.5_Gradient,km169.5_GC_prov_position,km169.5_GC_prov_delay,km169.5_GC_riding_time,km160_Group,km160_Position,km160_Elapsed_time,km160_Gap_to_previous_group,km160_Average_speed,km160_Current_speed,km160_Gradient,km160_GC_prov_position,km160_GC_prov_delay,km160_GC_riding_time,km150_Group,km150_Position,km150_Elapsed_time,km150_Gap_to_previous_group,km150_Average_speed,km150_Current_speed,km150_Gradient,km150_GC_prov_position,km150_GC_prov_delay,km150_GC_riding_time,km140_Group,km140_Position,km140_Elapsed_time,km140_Gap_to_previous_group,km140_Average_speed,km140_Current_speed,km140_Gradient,km140_GC_prov_position,km140_GC_prov_delay,km140_GC_riding_time,km130_Group,km130_Position,km130_Elapsed_time,km130_Gap_to_previous_group,km130_Average_speed,km130_Current_speed,km130_Gradient,km130_GC_prov_position,km130_GC_prov_delay,km130_GC_riding_time,km120_Group,km120_Position,km120_Elapsed_time,km120_Gap_to_previous_group,km120_Average_speed,km120_Current_speed,km120_Gradient,km120_GC_prov_position,km120_GC_prov_delay,km120_GC_riding_time,km110_Group,km110_Position,km110_Elapsed_time,km110_Gap_to_previous_group,km110_Average_speed,km110_Current_speed,km110_Gradient,km110_GC_prov_position,km110_GC_prov_delay,km110_GC_riding_time,km100_Group,km100_Position,km100_Elapsed_time,km100_Gap_to_previous_group,km100_Average_speed,km100_Current_speed,km100_Gradient,km100_GC_prov_position,km100_GC_prov_delay,km100_GC_riding_time,km90_Group,km90_Position,km90_Elapsed_time,km90_Gap_to_previous_group,km90_Average_speed,km90_Current_speed,km90_Gradient,km90_GC_prov_position,km90_GC_prov_delay,km90_GC_riding_time,km80_Group,km80_Position,km80_Elapsed_time,km80_Gap_to_previous_group,km80_Average_speed,km80_Current_speed,km80_Gradient,km80_GC_prov_position,km80_GC_prov_delay,km80_GC_riding_time,km70_Group,km70_Position,km70_Elapsed_time,km70_Gap_to_previous_group,km70_Average_speed,km70_Current_speed,km70_Gradient,km70_GC_prov_position,km70_GC_prov_delay,km70_GC_riding_time,km60_Group,km60_Position,km60_Elapsed_time,km60_Gap_to_previous_group,km60_Average_speed,km60_Current_speed,km60_Gradient,km60_GC_prov_position,km60_GC_prov_delay,km60_GC_riding_time,km50_Group,km50_Position,km50_Elapsed_time,km50_Gap_to_previous_group,km50_Average_speed,km50_Current_speed,km50_Gradient,km50_GC_prov_position,km50_GC_prov_delay,km50_GC_riding_time,km40_Group,km40_Position,km40_Elapsed_time,km40_Gap_to_previous_group,km40_Average_speed,km40_Current_speed,km40_Gradient,km40_GC_prov_position,km40_GC_prov_delay,km40_GC_riding_time,km30_Group,km30_Position,km30_Elapsed_time,km30_Gap_to_previous_group,km30_Average_speed,km30_Current_speed,km30_Gradient,km30_GC_prov_position,km30_GC_prov_delay,km30_GC_riding_time,km20_Group,km20_Position,km20_Elapsed_time,km20_Gap_to_previous_group,km20_Average_speed,km20_Current_speed,km20_Gradient,km20_GC_prov_position,km20_GC_prov_delay,km20_GC_riding_time,km15_Group,km15_Position,km15_Elapsed_time,km15_Gap_to_previous_group,km15_Average_speed,km15_Current_speed,km15_Gradient,km15_GC_prov_position,km15_GC_prov_delay,km15_GC_riding_time,km10_Group,km10_Position,km10_Elapsed_time,km10_Gap_to_previous_group,km10_Average_speed,km10_Current_speed,km10_Gradient,km10_GC_prov_position,km10_GC_prov_delay,km10_GC_riding_time,km5_Group,km5_Position,km5_Elapsed_time,km5_Gap_to_previous_group,km5_Average_speed,km5_Current_speed,km5_Gradient,km5_GC_prov_position,km5_GC_prov_delay,km5_GC_riding_time,km0_Group,km0_Position,km0_Elapsed_time,km0_Gap_to_previous_group,km0_Average_speed,km0_Current_speed,km0_Gradient,km0_GC_prov_position,km0_GC_prov_delay,km0_GC_riding_time
C. FROOME,1,SKY,no,2,49h 26' 22'',0:01:39,03h 45' 55'',Main group,1,+0'00'',+0'00'',0 km/h,0 km/h,0%,2,0:01:39,49:26:22,Main group,126,+0'58'',+0'25'',49.65 km/h,36.90 km,-4%,2,0:01:39,49:49:17,Main group,102,+1'45'',+0'49'',55.39 km/h,48.35 km,-2%,2,0:01:39,50:03:08,Main group,78,+3'20'',+3'20'',49.06 km/h,50.94 km,-1%,2,0:01:39,50:16:23,Main group,21,+2'14'',+2'14'',50.95 km/h,80.10 km,-4%,2,0:01:39,50:28:53,Main group,59,+1'42'',+1'42'',39.85 km/h,47.81 km,-,2,0:01:39,50:41:11,Main group,22,+1'34'',+1'34'',41.10 km/h,39.92 km,-1%,2,0:01:39,50:53:28,Main group,33,+2'00'',+2'00'',37.06 km/h,45.18 km,-3%,2,0:01:39,51:06:20,Main group,39,+2'10'',+2'10'',44.42 km/h,43.60 km,-,2,0:01:39,51:20:12,Main group,25,+2'06'',+2'06'',38.09 km/h,38.23 km,3%,2,0:01:39,51:31:42,Main group,25,+1'30'',+1'30'',46.28 km/h,47.45 km,-1%,2,0:01:39,51:44:21,Main group,19,+1'00'',+1'00'',28.88 km/h,23.47 km,5%,2,0:01:39,51:56:18,Main group,46,+0'51'',+0'51'',39.68 km/h,36.58 km,-2%,2,0:01:39,52:09:33,Main group,36,+0'57'',+0'57'',38.62 km/h,33.05 km,4%,2,0:01:39,52:21:56,Main group,26,+0'35'',+0'35'',41.20 km/h,41.72 km,-1%,2,0:01:39,52:34:39,Main group,17,+0'47'',+0'47'',39.50 km/h,63.22 km,-2%,2,0:01:39,52:47:11,Main group,26,+0'25'',+0'25'',59.39 km/h,44.50 km,-,2,0:01:39,52:52:40,Main group,50,+0'24'',+0'24'',55.15 km/h,55.37 km,-1%,2,0:01:39,52:59:25,Main group,6,+0'00'',+0'00'',49.61 km/h,53.89 km,-,2,0:01:39,53:05:40,Main group,39,+0'00'',-,-,-,-,2,0:01:39,53:12:17
E. BERNAL GOMEZ,2,SKY,no,19,49h 46' 05'',0:21:22,03h 48' 03'',Main group,2,+0'00'',+0'00'',0 km/h,0 km/h,0%,19,0:21:22,49:46:05,Main group,81,+0'58'',+0'25'',48.46 km/h,38.38 km,-4%,18,0:21:22,50:09:00,Main group,65,+1'45'',+0'49'',55.86 km/h,44.53 km,-2%,18,0:21:22,50:22:51,Main group,13,+3'20'',+3'20'',49.10 km/h,49.93 km,-1%,18,0:21:22,50:36:06,Main group,23,+2'14'',+2'14'',51.07 km/h,75.85 km,-5%,18,0:21:22,50:48:36,Main group,22,+1'42'',+1'42'',41.54 km/h,46.55 km,-,18,0:21:22,51:00:54,Main group,31,+1'34'',+1'34'',40.79 km/h,40.97 km,-1%,18,0:21:22,51:13:11,Main group,117,+2'00'',+2'00'',36.17 km/h,43.09 km,-2%,18,0:21:22,51:26:03,Main group,137,+2'10'',+2'10'',44.32 km/h,40.57 km,-,18,0:21:22,51:39:55,Main group,100,+2'06'',+2'06'',39.49 km/h,38.20 km,3%,18,0:21:22,51:51:25,Main group,38,+1'30'',+1'30'',47.33 km/h,49.46 km,-,18,0:21:22,52:04:04,Main group,37,+1'00'',+1'00'',29.38 km/h,18.58 km,5%,18,0:21:22,52:16:01,Main group,55,+0'51'',+0'51'',39.77 km/h,36.54 km,-2%,18,0:21:22,52:29:16,Main group,32,+0'57'',+0'57'',38.72 km/h,31.72 km,4%,18,0:21:22,52:41:39,Main group,47,+0'35'',+0'35'',40.68 km/h,38.34 km,-,18,0:21:22,52:54:22,Main group,25,+0'47'',+0'47'',38.54 km/h,63.29 km,-2%,18,0:21:22,53:06:54,Main group,138,+0'25'',+0'25'',58.59 km/h,51.37 km,-,18,0:21:22,53:12:23,Main group,149,+0'24'',+0'24'',55.05 km/h,56.27 km,-1%,18,0:21:22,53:19:08,Main group,137,+0'00'',+0'00'',49.51 km/h,54.32 km,-2%,18,0:21:22,53:25:23,Stragglers,125,+2'08'',-,-,-,-,18,0:23:30,53:34:08
J. CASTROVIEJO,3,SKY,no,103,51h 09' 18'',1:44:35,03h 47' 51'',Main group,3,+0'00'',+0'00'',0 km/h,0 km/h,0%,103,1:44:35,51:09:18,Main group,41,+0'58'',+0'25'',50.40 km/h,40.93 km,-5%,102,1:44:35,51:32:13,Main group,66,+1'45'',+0'49'',55.21 km/h,44.82 km,-2%,102,1:44:35,51:46:04,Main group,121,+3'20'',+3'20'',48.34 km/h,50.58 km,-1%,102,1:44:35,51:59:19,Main group,26,+2'14'',+2'14'',53.10 km/h,83.66 km,-5%,102,1:44:35,52:11:49,Main group,46,+1'42'',+1'42'',40.88 km/h,48.49 km,-,102,1:44:35,52:24:07,Main group,40,+1'34'',+1'34'',40.43 km/h,40.03 km,-1%,102,1:44:35,52:36:24,Main group,24,+2'00'',+2'00'',37.36 km/h,46.58 km,-3%,102,1:44:35,52:49:16,Main group,40,+2'10'',+2'10'',44.16 km/h,41.54 km,-,102,1:44:35,53:03:08,Back of the Race,151,+2'30'',+0'24'',35.98 km/h,42.34 km,3%,102,1:44:59,53:15:02,Main group,34,+1'30'',+1'30'',45.92 km/h,45.14 km,-,102,1:44:35,53:27:17,Main group,50,+1'00'',+1'00'',28.94 km/h,25.49 km,5%,102,1:44:35,53:39:14,Main group,47,+0'51'',+0'51'',39.90 km/h,35.89 km,-2%,102,1:44:35,53:52:29,Main group,29,+0'57'',+0'57'',38.80 km/h,31.86 km,4%,102,1:44:35,54:04:52,Main group,65,+0'35'',+0'35'',41.13 km/h,37.73 km,-,102,1:44:35,54:17:35,Main group,32,+0'47'',+0'47'',39.03 km/h,64.55 km,-2%,102,1:44:35,54:30:07,Main group,6,+0'25'',+0'25'',59.68 km/h,48.85 km,-,102,1:44:35,54:35:36,Main group,113,+0'24'',+0'24'',55.35 km/h,54.76 km,-1%,102,1:44:35,54:42:21,Main group,109,+0'00'',+0'00'',49.40 km/h,51.84 km,-1%,101,1:44:35,54:48:36,Stragglers,105,+1'56'',-,-,-,-,102,1:46:31,54:57:09
M. KWIATKOWSKI,4,SKY,no,59,50h 43' 42'',1:18:59,03h 48' 03'',Main group,4,+0'00'',+0'00'',0 km/h,0 km/h,0%,59,1:18:59,50:43:42,Main group,24,+0'58'',+0'25'',47.92 km/h,42.16 km,-5%,58,1:18:59,51:06:37,Main group,12,+1'45'',+0'49'',55.28 km/h,45.07 km,-3%,58,1:18:59,51:20:28,Main group,75,+3'20'',+3'20'',48.80 km/h,51.80 km,-1%,58,1:18:59,51:33:43,Main group,18,+2'14'',+2'14'',50.56 km/h,81.83 km,-4%,58,1:18:59,51:46:13,Main group,25,+1'42'',+1'42'',39.76 km/h,45.07 km,-,58,1:18:59,51:58:31,Main group,32,+1'34'',+1'34'',40.87 km/h,38.99 km,-1%,57,1:18:59,52:10:48,Main group,30,+2'00'',+2'00'',37.41 km/h,45.58 km,-3%,58,1:18:59,52:23:40,Main group,24,+2'10'',+2'10'',44.15 km/h,42.84 km,-,58,1:18:59,52:37:32,Main group,12,+2'06'',+2'06'',37.57 km/h,38.45 km,3%,58,1:18:59,52:49:02,Main group,23,+1'30'',+1'30'',46.48 km/h,48.74 km,-1%,58,1:18:59,53:01:41,Main group,42,+1'00'',+1'00'',29.06 km/h,22.61 km,5%,58,1:18:59,53:13:38,Main group,22,+0'51'',+0'51'',39.84 km/h,35.96 km,-2%,58,1:18:59,53:26:53,Main group,42,+0'57'',+0'57'',38.42 km/h,28.33 km,4%,58,1:18:59,53:39:16,Main group,25,+0'35'',+0'35'',40.85 km/h,41.94 km,-1%,58,1:18:59,53:51:59,Main group,10,+0'47'',+0'47'',38.75 km/h,63.97 km,-2%,58,1:18:59,54:04:31,Main group,16,+0'25'',+0'25'',59.49 km/h,44.64 km,-,58,1:18:59,54:10:00,Main group,55,+0'24'',+0'24'',55.25 km/h,55.40 km,-1%,58,1:18:59,54:16:45,Main group,3,+0'00'',+0'00'',49.58 km/h,52.52 km,-,58,1:18:59,54:23:00,Stragglers,127,+2'08'',-,-,-,-,58,1:21:07,54:31:45
G. MOSCON,5,SKY,no,114,51h 16' 13'',1:51:30,03h 48' 03'',Main group,5,+0'00'',+0'00'',0 km/h,0 km/h,0%,114,1:51:30,51:16:13,Main group,22,+0'58'',+0'25'',49.39 km/h,41.15 km,-5%,112,1:51:30,51:39:08,Main group,47,+1'45'',+0'49'',55.03 km/h,44.82 km,-3%,112,1:51:30,51:52:59,Main group,21,+3'20'',+3'20'',48.32 km/h,41.22 km,-1%,112,1:51:30,52:06:14,Main group,20,+2'14'',+2'14'',51.04 km/h,79.31 km,-4%,112,1:51:30,52:18:44,Main group,40,+1'42'',+1'42'',40.08 km/h,48.96 km,-,112,1:51:30,52:31:02,Main group,29,+1'34'',+1'34'',41.00 km/h,39.74 km,-1%,112,1:51:30,52:43:19,Main group,32,+2'00'',+2'00'',37.13 km/h,42.59 km,-3%,112,1:51:30,52:56:11,Main group,35,+2'10'',+2'10'',44.16 km/h,44.60 km,-,112,1:51:30,53:10:03,Main group,17,+2'06'',+2'06'',38.36 km/h,36.29 km,3%,112,1:51:30,53:21:33,Main group,33,+1'30'',+1'30'',45.12 km/h,45.40 km,-,112,1:51:30,53:34:12,Main group,31,+1'00'',+1'00'',28.25 km/h,25.81 km,5%,112,1:51:30,53:46:09,Main group,62,+0'51'',+0'51'',39.50 km/h,37.30 km,-2%,112,1:51:30,53:59:24,Main group,38,+0'57'',+0'57'',38.65 km/h,31.64 km,4%,112,1:51:30,54:11:47,Main group,23,+0'35'',+0'35'',40.80 km/h,43.02 km,-1%,112,1:51:30,54:24:30,Main group,9,+0'47'',+0'47'',38.57 km/h,64.08 km,-2%,112,1:51:30,54:37:02,Main group,22,+0'25'',+0'25'',59.19 km/h,49.54 km,-,112,1:51:30,54:42:31,Main group,135,+0'24'',+0'24'',54.33 km/h,57.71 km,-1%,112,1:51:30,54:49:16,Main group,144,+0'00'',+0'00'',48.59 km/h,52.96 km,-1%,112,1:51:30,54:55:31,Stragglers,129,+2'08'',-,-,-,-,114,1:53:38,55:04:16
W. POELS,6,SKY,no,60,50h 45' 58'',1:21:15,03h 48' 03'',Main group,6,+0'00'',+0'00'',0 km/h,0 km/h,0%,60,1:21:15,50:45:58,Main group,11,+0'58'',+0'25'',49.15 km/h,42.34 km,-5%,59,1:21:15,51:08:53,Main group,40,+1'45'',+0'49'',54.77 km/h,45.32 km,-3%,59,1:21:15,51:22:44,Main group,12,+3'20'',+3'20'',48.60 km/h,49.36 km,-1%,59,1:21:15,51:35:59,Main group,19,+2'14'',+2'14'',51.24 km/h,81.32 km,-4%,59,1:21:15,51:48:29,Main group,71,+1'42'',+1'42'',39.96 km/h,37.62 km,-,59,1:21:15,52:00:47,Main group,25,+1'34'',+1'34'',41.12 km/h,38.70 km,-1%,59,1:21:15,52:13:04,Main group,45,+2'00'',+2'00'',36.86 km/h,43.56 km,-3%,59,1:21:15,52:25:56,Main group,33,+2'10'',+2'10'',44.28 km/h,49.32 km,-,59,1:21:15,52:39:48,Main group,64,+2'06'',+2'06'',38.50 km/h,37.40 km,3%,59,1:21:15,52:51:18,Main group,26,+1'30'',+1'30'',46.52 km/h,47.30 km,-,59,1:21:15,53:03:57,Main group,49,+1'00'',+1'00'',28.56 km/h,23.40 km,5%,59,1:21:15,53:15:54,Main group,52,+0'51'',+0'51'',39.16 km/h,35.35 km,-2%,59,1:21:15,53:29:09,Main group,138,+0'57'',+0'57'',38.51 km/h,30.64 km,4%,59,1:21:15,53:41:32,Main group,14,+0'35'',+0'35'',41.14 km/h,45.40 km,-,59,1:21:15,53:54:15,Main group,36,+0'47'',+0'47'',39.05 km/h,64.04 km,-2%,59,1:21:15,54:06:47,Main group,130,+0'25'',+0'25'',58.44 km/h,50.51 km,-,59,1:21:15,54:12:16,Main group,145,+0'24'',+0'24'',55.25 km/h,57.56 km,-1%,59,1:21:15,54:19:01,Main group,148,+0'00'',+0'00'',49.06 km/h,53.68 km,-1%,59,1:21:15,54:25:16,Stragglers,140,+2'08'',-,-,-,-,61,1:23:23,54:34:01
L. ROWE,7,SKY,no,130,51h 27' 03'',2:02:20,03h 48' 03'',Main group,7,+0'00'',+0'00'',0 km/h,0 km/h,0%,130,2:02:20,51:27:03,Main group,15,+0'58'',+0'25'',48.34 km/h,40.57 km,-5%,128,2:02:20,51:49:58,Main group,11,+1'45'',+0'49'',54.87 km/h,44.21 km,-3%,128,2:02:20,52:03:49,Main group,14,+3'20'',+3'20'',49.28 km/h,49.46 km,-1%,128,2:02:20,52:17:04,Main group,22,+2'14'',+2'14'',51.13 km/h,80.50 km,-4%,128,2:02:20,52:29:34,Main group,27,+1'42'',+1'42'',40.44 km/h,47.23 km,-,128,2:02:20,52:41:52,Main group,33,+1'34'',+1'34'',41.28 km/h,39.35 km,-1%,128,2:02:20,52:54:09,Main group,25,+2'00'',+2'00'',36.98 km/h,46.19 km,-3%,128,2:02:20,53:07:01,Main group,38,+2'10'',+2'10'',44.16 km/h,43.81 km,-,128,2:02:20,53:20:53,Main group,22,+2'06'',+2'06'',37.38 km/h,38.38 km,3%,128,2:02:20,53:32:23,Main group,22,+1'30'',+1'30'',45.68 km/h,47.34 km,-1%,128,2:02:20,53:45:02,Main group,35,+1'00'',+1'00'',27.83 km/h,22.25 km,5%,128,2:02:20,53:56:59,Main group,76,+0'51'',+0'51'',39.30 km/h,37.48 km,-2%,128,2:02:20,54:10:14,Main group,35,+0'57'',+0'57'',38.43 km/h,29.70 km,4%,128,2:02:20,54:22:37,Main group,30,+0'35'',+0'35'',41.10 km/h,42.84 km,-1%,128,2:02:20,54:35:20,Main group,66,+0'47'',+0'47'',39.44 km/h,65.81 km,-2%,128,2:02:20,54:47:52,Main group,25,+0'25'',+0'25'',59.69 km/h,46.73 km,-,128,2:02:20,54:53:21,Main group,58,+0'24'',+0'24'',55.33 km/h,56.88 km,-1%,128,2:02:20,55:00:06,Main group,102,+0'00'',+0'00'',49.00 km/h,48.49 km,-1%,128,2:02:20,55:06:21,Stragglers,130,+2'08'',-,-,-,-,131,2:04:28,55:15:06
G. THOMAS,8,SKY,GC,1,49h 24' 43'',0:00:00,03h 45' 55'',Main group,8,+0'00'',+0'00'',0 km/h,0 km/h,0%,1,0:00:00,49:24:43,Main group,114,+0'58'',+0'25'',50.41 km/h,36.32 km,-4%,1,0:00:00,49:47:38,Main group,121,+1'45'',+0'49'',55.19 km/h,45.72 km,-2%,1,0:00:00,50:01:29,Main group,120,+3'20'',+3'20'',48.58 km/h,49.10 km,-1%,1,0:00:00,50:14:44,Main group,24,+2'14'',+2'14'',53.64 km/h,80.64 km,-5%,1,0:00:00,50:27:14,Main group,23,+1'42'',+1'42'',41.45 km/h,50.47 km,-,1,0:00:00,50:39:32,Main group,30,+1'34'',+1'34'',40.98 km/h,41.65 km,-1%,1,0:00:00,50:51:49,Main group,34,+2'00'',+2'00'',37.06 km/h,45.50 km,-3%,1,0:00:00,51:04:41,Main group,36,+2'10'',+2'10'',44.22 km/h,45.04 km,-,1,0:00:00,51:18:33,Main group,21,+2'06'',+2'06'',37.79 km/h,37.69 km,3%,1,0:00:00,51:30:03,Main group,24,+1'30'',+1'30'',46.07 km/h,46.76 km,-1%,1,0:00:00,51:42:42,Main group,47,+1'00'',+1'00'',31.09 km/h,19.01 km,5%,1,0:00:00,51:54:39,Main group,59,+0'51'',+0'51'',39.17 km/h,36.68 km,-2%,1,0:00:00,52:07:54,Main group,31,+0'57'',+0'57'',38.22 km/h,31.64 km,4%,1,0:00:00,52:20:17,Main group,54,+0'35'',+0'35'',41.16 km/h,40.03 km,-,1,0:00:00,52:33:00,Main group,29,+0'47'',+0'47'',38.90 km/h,64.84 km,-2%,1,0:00:00,52:45:32,Main group,15,+0'25'',+0'25'',59.32 km/h,45.40 km,-,1,0:00:00,52:51:01,Main group,61,+0'24'',+0'24'',55.60 km/h,54.36 km,-1%,1,0:00:00,52:57:46,Main group,5,+0'00'',+0'00'',49.51 km/h,52.96 km,-,1,0:00:00,53:04:01,Main group,25,+0'00'',-,-,-,-,1,0:00:00,53:10:38
S. CLARKE,12,EFD,no,113,51h 14' 51'',1:50:08,03h 47' 51'',Main group,9,+0'00'',+0'00'',0 km/h,0 km/h,0%,113,1:50:08,51:14:51,Main group,39,+0'58'',+0'25'',50.36 km/h,39.35 km,-5%,111,1:50:08,51:37:46,Main group,127,+1'45'',+0'49'',55.55 km/h,44.21 km,-2%,111,1:50:08,51:51:37,Main group,132,+3'20'',+3'20'',48.08 km/h,52.56 km,-1%,111,1:50:08,52:04:52,Main group,114,+2'14'',+2'14'',50.84 km/h,89.21 km,-7%,111,1:50:08,52:17:22,Main group,144,+1'42'',+1'42'',40.23 km/h,49.50 km,-,111,1:50:08,52:29:40,Main group,66,+1'34'',+1'34'',40.74 km/h,37.73 km,-1%,111,1:50:08,52:41:57,Main group,127,+2'00'',+2'00'',39.01 km/h,41.36 km,-2%,111,1:50:08,52:54:49,Main group,142,+2'10'',+2'10'',43.99 km/h,41.11 km,-,111,1:50:08,53:08:41,Main group,126,+2'06'',+2'06'',39.37 km/h,36.79 km,3%,111,1:50:08,53:20:11,Main group,104,+1'30'',+1'30'',45.13 km/h,44.42 km,-,111,1:50:08,53:32:50,Main group,117,+1'00'',+1'00'',28.67 km/h,25.81 km,5%,111,1:50:08,53:44:47,Main group,115,+0'51'',+0'51'',40.53 km/h,32.54 km,-2%,111,1:50:08,53:58:02,Main group,106,+0'57'',+0'57'',38.50 km/h,30.17 km,4%,111,1:50:08,54:10:25,Main group,110,+0'35'',+0'35'',43.79 km/h,34.81 km,-,111,1:50:08,54:23:08,Main group,78,+0'47'',+0'47'',39.28 km/h,62.57 km,-3%,111,1:50:08,54:35:40,Main group,100,+0'25'',+0'25'',59.17 km/h,53.14 km,-,111,1:50:08,54:41:09,Main group,62,+0'24'',+0'24'',55.53 km/h,57.31 km,-1%,111,1:50:08,54:47:54,Main group,64,+0'00'',+0'00'',49.49 km/h,53.21 km,-1%,111,1:50:08,54:54:09,Stragglers,103,+1'56'',-,-,-,-,112,1:52:04,55:02:42
L. CRADDOCK,13,EFD,no,153,51h 58' 34'',2:33:51,03h 48' 40'',Main group,10,+0'00'',+0'00'',0 km/h,0 km/h,0%,153,2:33:51,51:58:34,Main group,94,+0'58'',+0'25'',49.63 km/h,37.44 km,-4%,151,2:33:51,52:21:29,Main group,146,+1'45'',+0'49'',55.66 km/h,45.04 km,-2%,151,2:33:51,52:35:20,Main group,131,+3'20'',+3'20'',47.41 km/h,52.49 km,-1%,151,2:33:51,52:48:35,Main group,149,+2'14'',+2'14'',50.51 km/h,91.66 km,-7%,151,2:33:51,53:01:05,Main group,140,+1'42'',+1'42'',39.88 km/h,45.25 km,-,151,2:33:51,53:13:23,Main group,134,+1'34'',+1'34'',41.19 km/h,38.66 km,-1%,151,2:33:51,53:25:40,Main group,137,+2'00'',+2'00'',37.40 km/h,41.18 km,-2%,151,2:33:51,53:38:32,Main group,146,+2'10'',+2'10'',44.05 km/h,38.27 km,-,151,2:33:51,53:52:24,Main group,140,+2'06'',+2'06'',39.27 km/h,37.19 km,3%,151,2:33:51,54:03:54,Main group,127,+1'30'',+1'30'',44.40 km/h,45.32 km,-,151,2:33:51,54:16:33,Main group,151,+1'00'',+1'00'',29.52 km/h,24.12 km,5%,151,2:33:51,54:28:30,Main group,142,+0'51'',+0'51'',40.47 km/h,30.31 km,-1%,151,2:33:51,54:41:45,Main group,131,+0'57'',+0'57'',38.58 km/h,31.86 km,4%,151,2:33:51,54:54:08,Main group,144,+0'35'',+0'35'',41.68 km/h,34.06 km,-,151,2:33:51,55:06:51,Main group,149,+0'47'',+0'47'',37.78 km/h,66.13 km,-3%,151,2:33:51,55:19:23,Main group,150,+0'25'',+0'25'',59.32 km/h,48.10 km,-,151,2:33:51,55:24:52,Main group,146,+0'24'',+0'24'',55.16 km/h,56.12 km,-1%,151,2:33:51,55:31:37,Main group,145,+0'00'',+0'00'',48.93 km/h,54.61 km,-1%,151,2:33:51,55:37:52,Stragglers,150,+2'45'',-,-,-,-,152,2:36:36,55:47:14