site,dt,price
A,29/05/2016 00:00,529.5389047
A,29/05/2016 00:15,527.5588802
A,29/05/2016 00:30,524.778649
A,29/05/2016 00:45,523.2958823
A,29/05/2016 01:00,523.4245659
A,29/05/2016 01:15,524.4627037
A,29/05/2016 01:30,527.9041225
A,29/05/2016 01:45,529.4042726
A,29/05/2016 02:00,531.7883293
A,29/05/2016 02:15,528.9821571
A,29/05/2016 02:30,531.8800509
A,29/05/2016 02:45,530.8204334
A,29/05/2016 03:00,527.6374539
A,29/05/2016 03:15,528.0533021
A,29/05/2016 03:30,527.118013
A,29/05/2016 03:45,531.6117305
A,29/05/2016 04:00,534.3326951
A,29/05/2016 04:15,533.9387235
A,29/05/2016 04:30,531.4396142
A,29/05/2016 04:45,528.8642298
A,29/05/2016 05:00,531.722203
A,29/05/2016 05:15,529.9992645
A,29/05/2016 05:30,529.5556164
A,29/05/2016 05:45,530.8012955
A,29/05/2016 06:00,534.1582467
A,29/05/2016 06:15,531.5518665
A,29/05/2016 06:30,532.1871656
A,29/05/2016 06:45,532.3282584
A,29/05/2016 07:00,529.7790915
A,29/05/2016 07:15,526.8690928
A,29/05/2016 07:30,524.6285684
A,29/05/2016 07:45,522.983496
A,29/05/2016 08:00,523.4607828
A,29/05/2016 08:15,522.4288209
A,29/05/2016 08:30,522.228843
A,29/05/2016 08:45,524.6277197
A,29/05/2016 09:00,522.151199
A,29/05/2016 09:15,522.6803508
A,29/05/2016 09:30,525.2135589
A,29/05/2016 09:45,526.3242766
A,29/05/2016 10:00,521.6435571
A,29/05/2016 10:15,520.9708598
A,29/05/2016 10:30,520.2197563
A,29/05/2016 10:45,520.8286925
A,29/05/2016 11:00,519.1821379
A,29/05/2016 11:15,520.3896485
A,29/05/2016 11:30,522.819018
A,29/05/2016 11:45,521.1327638
A,29/05/2016 12:00,523.1243534
A,29/05/2016 12:15,526.3183889
A,29/05/2016 12:30,528.2727566
A,29/05/2016 12:45,528.6504385
A,29/05/2016 13:00,527.1448216
A,29/05/2016 13:15,526.975057
A,29/05/2016 13:30,524.9293366
A,29/05/2016 13:45,528.130332
A,29/05/2016 14:00,526.87321
A,29/05/2016 14:15,528.9517776
A,29/05/2016 14:30,528.7978342
A,29/05/2016 14:45,530.6942574
A,29/05/2016 15:00,532.4666049
A,29/05/2016 15:15,533.1065342
A,29/05/2016 15:30,533.4338
A,29/05/2016 15:45,534.5889181
A,29/05/2016 16:00,532.0885295
A,29/05/2016 16:15,530.738012
A,29/05/2016 16:30,528.4786901
A,29/05/2016 16:45,531.371595
A,29/05/2016 17:00,531.5801234
A,29/05/2016 17:15,533.4482674
A,29/05/2016 17:30,535.1864591
A,29/05/2016 17:45,532.0032708
A,29/05/2016 18:00,533.5419303
A,29/05/2016 18:15,536.1544703
A,29/05/2016 18:30,538.1812494
A,29/05/2016 18:45,542.6845332
A,29/05/2016 19:00,544.2645532
A,29/05/2016 19:15,541.8886483
A,29/05/2016 19:30,542.8574868
A,29/05/2016 19:45,547.2709411
A,29/05/2016 20:00,546.8532287
A,29/05/2016 20:15,547.5187238
A,29/05/2016 20:30,550.0686207
A,29/05/2016 20:45,549.5900027
A,29/05/2016 21:00,548.9099088
A,29/05/2016 21:15,549.201577
A,29/05/2016 21:30,550.9274143
A,29/05/2016 21:45,551.5686587
A,29/05/2016 22:00,549.6782338
A,29/05/2016 22:15,549.9946916
A,29/05/2016 22:30,547.961721
A,29/05/2016 22:45,548.68068
A,29/05/2016 23:00,551.0298729
A,29/05/2016 23:15,555.8607307
A,29/05/2016 23:30,556.7467247
A,29/05/2016 23:45,557.1482762
A,30/05/2016 00:00,555.1188481
A,30/05/2016 00:15,553.2834776
A,30/05/2016 00:30,551.7969474
A,30/05/2016 00:45,553.4107394
A,30/05/2016 01:00,552.9719455
A,30/05/2016 01:15,555.1907765
A,30/05/2016 01:30,552.9392159
A,30/05/2016 01:45,556.1415515
A,30/05/2016 02:00,551.3208113
A,30/05/2016 02:15,555.6778853
A,30/05/2016 02:30,558.9293734
A,30/05/2016 02:45,559.9938367
A,30/05/2016 03:00,559.0903515
A,30/05/2016 03:15,562.6599091
A,30/05/2016 03:30,564.284598
A,30/05/2016 03:45,560.8398195
A,30/05/2016 04:00,563.6686439
A,30/05/2016 04:15,561.4345947
A,30/05/2016 04:30,559.0118588
A,30/05/2016 04:45,561.4771546
A,30/05/2016 05:00,560.8053913
A,30/05/2016 05:15,556.7005345
A,30/05/2016 05:30,554.22468
A,30/05/2016 05:45,550.7212416
A,30/05/2016 06:00,553.774174
A,30/05/2016 06:15,555.7583899
A,30/05/2016 06:30,557.0187632
A,30/05/2016 06:45,554.6857896
A,30/05/2016 07:00,554.4765331
A,30/05/2016 07:15,552.5757717
A,30/05/2016 07:30,555.2563676
A,30/05/2016 07:45,553.5450762
A,30/05/2016 08:00,551.2569376
A,30/05/2016 08:15,551.7263233
A,30/05/2016 08:30,548.9351753
A,30/05/2016 08:45,546.1492609
A,30/05/2016 09:00,545.516713
A,30/05/2016 09:15,546.7990486
A,30/05/2016 09:30,544.7450563
A,30/05/2016 09:45,542.0217215
A,30/05/2016 10:00,542.0258711
A,30/05/2016 10:15,545.6676747
A,30/05/2016 10:30,548.9624457
A,30/05/2016 10:45,547.921157
A,30/05/2016 11:00,550.6783721
A,30/05/2016 11:15,552.0014279
A,30/05/2016 11:30,554.0288217
A,30/05/2016 11:45,552.1263134
A,30/05/2016 12:00,549.550576
A,30/05/2016 12:15,547.8079265
A,30/05/2016 12:30,551.3026201
A,30/05/2016 12:45,549.9550233
A,30/05/2016 13:00,553.4813578
A,30/05/2016 13:15,556.5084731
A,30/05/2016 13:30,554.0244103
A,30/05/2016 13:45,555.3126946
A,30/05/2016 14:00,558.133824
A,30/05/2016 14:15,557.6626154
A,30/05/2016 14:30,559.7515283
A,30/05/2016 14:45,560.4347443
A,30/05/2016 15:00,558.6436797
A,30/05/2016 15:15,555.00754
A,30/05/2016 15:30,553.4700457
A,30/05/2016 15:45,552.3512078
A,30/05/2016 16:00,554.7501108
A,30/05/2016 16:15,553.7217279
A,30/05/2016 16:30,551.8896247
A,30/05/2016 16:45,551.1123782
A,30/05/2016 17:00,551.7316701
A,30/05/2016 17:15,549.8934832
A,30/05/2016 17:30,552.0212273
A,30/05/2016 17:45,552.8600891
A,30/05/2016 18:00,549.8054227
A,30/05/2016 18:15,546.3426347
A,30/05/2016 18:30,547.60672
A,30/05/2016 18:45,550.5353637
A,30/05/2016 19:00,553.2863966
A,30/05/2016 19:15,553.1217521
A,30/05/2016 19:30,550.4687461
A,30/05/2016 19:45,547.0925256
A,30/05/2016 20:00,546.301695
A,30/05/2016 20:15,547.6573104
A,30/05/2016 20:30,544.5921177
A,30/05/2016 20:45,543.9434068
A,30/05/2016 21:00,541.0384972
A,30/05/2016 21:15,538.1421637
A,30/05/2016 21:30,536.9005986
A,30/05/2016 21:45,534.7886518
A,30/05/2016 22:00,535.0202763
A,30/05/2016 22:15,532.2809759
A,30/05/2016 22:30,528.0531663
A,30/05/2016 22:45,526.3701666
A,30/05/2016 23:00,526.5788652
A,30/05/2016 23:15,528.2669507
A,30/05/2016 23:30,527.1251248
A,30/05/2016 23:45,527.6744231
A,31/05/2016 00:00,529.9578297
A,31/05/2016 00:15,525.098693
A,31/05/2016 00:30,521.7736734
A,31/05/2016 00:45,524.4043804
A,31/05/2016 01:00,527.0927773
A,31/05/2016 01:15,528.8743209
A,31/05/2016 01:30,527.2106303
A,31/05/2016 01:45,525.8356119
A,31/05/2016 02:00,524.993027
A,31/05/2016 02:15,525.138921
A,31/05/2016 02:30,523.7436488
A,31/05/2016 02:45,525.8006303
A,31/05/2016 03:00,529.2518516
A,31/05/2016 03:15,528.4364819
A,31/05/2016 03:30,530.3766922
A,31/05/2016 03:45,531.4836497
A,31/05/2016 04:00,535.0405551
A,31/05/2016 04:15,532.422054
A,31/05/2016 04:30,535.5472296
A,31/05/2016 04:45,536.8424257
A,31/05/2016 05:00,535.6866766
A,31/05/2016 05:15,535.177933
A,31/05/2016 05:30,531.8587348
A,31/05/2016 05:45,534.5500416
A,31/05/2016 06:00,536.7487642
A,31/05/2016 06:15,534.5047597
A,31/05/2016 06:30,537.7434472
A,31/05/2016 06:45,536.2103297
A,31/05/2016 07:00,534.3003777
A,31/05/2016 07:15,537.2720731
A,31/05/2016 07:30,536.4135723
A,31/05/2016 07:45,533.7651508
A,31/05/2016 08:00,537.4191071
A,31/05/2016 08:15,537.808962
A,31/05/2016 08:30,535.7542768
A,31/05/2016 08:45,532.9270735
A,31/05/2016 09:00,536.4425885
A,31/05/2016 09:15,532.7507978
A,31/05/2016 09:30,532.5963515
A,31/05/2016 09:45,533.039164
A,31/05/2016 10:00,531.4206721
A,31/05/2016 10:15,531.5716131
A,31/05/2016 10:30,532.2914666
A,31/05/2016 10:45,530.9618008
A,31/05/2016 11:00,531.3485077
A,31/05/2016 11:15,530.9806809
A,31/05/2016 11:30,527.9485916
A,31/05/2016 11:45,527.6692165
A,31/05/2016 12:00,526.6906502
A,31/05/2016 12:15,524.344453
A,31/05/2016 12:30,526.2037258
A,31/05/2016 12:45,525.037854
A,31/05/2016 13:00,522.4634028
A,31/05/2016 13:15,521.0588879
A,31/05/2016 13:30,517.6757116
A,31/05/2016 13:45,516.6201641
A,31/05/2016 14:00,515.969519
A,31/05/2016 14:15,513.904086
A,31/05/2016 14:30,514.0692942
A,31/05/2016 14:45,512.5225675
A,31/05/2016 15:00,510.8977313
A,31/05/2016 15:15,512.2503649
A,31/05/2016 15:30,512.5022097
A,31/05/2016 15:45,514.5306554
A,31/05/2016 16:00,513.7919976
A,31/05/2016 16:15,513.0118415
A,31/05/2016 16:30,513.4901886
A,31/05/2016 16:45,511.3693831
A,31/05/2016 17:00,512.4725371
A,31/05/2016 17:15,507.8084046
A,31/05/2016 17:30,510.8952002
A,31/05/2016 17:45,510.7606956
A,31/05/2016 18:00,514.1781921
A,31/05/2016 18:15,512.9852145
A,31/05/2016 18:30,512.4264463
A,31/05/2016 18:45,512.0923973
A,31/05/2016 19:00,513.2666606
A,31/05/2016 19:15,510.9043901
A,31/05/2016 19:30,513.7661189
A,31/05/2016 19:45,510.3100905
A,31/05/2016 20:00,510.5742457
A,31/05/2016 20:15,512.5068497
A,31/05/2016 20:30,516.0893132
A,31/05/2016 20:45,513.4419914
A,31/05/2016 21:00,512.1981996
A,31/05/2016 21:15,511.6079079
A,31/05/2016 21:30,515.2135677
A,31/05/2016 21:45,513.0531418
A,31/05/2016 22:00,516.6751815
A,31/05/2016 22:15,517.6381912
A,31/05/2016 22:30,516.081836
A,31/05/2016 22:45,517.5857142
A,31/05/2016 23:00,516.7094712
A,31/05/2016 23:15,519.2442451
A,31/05/2016 23:30,519.5219463
A,31/05/2016 23:45,521.9278797
A,01/06/2016 00:00,523.6351892
B,29/05/2016 00:00,510.1074409
B,29/05/2016 00:15,509.4783561
B,29/05/2016 00:30,507.9811894
B,29/05/2016 00:45,507.7402089
B,29/05/2016 01:00,506.4386493
B,29/05/2016 01:15,504.5252136
B,29/05/2016 01:30,504.4028378
B,29/05/2016 01:45,505.4720937
B,29/05/2016 02:00,506.6227636
B,29/05/2016 02:15,504.5942605
B,29/05/2016 02:30,504.6239479
B,29/05/2016 02:45,503.0405858
B,29/05/2016 03:00,502.5087352
B,29/05/2016 03:15,502.594891
B,29/05/2016 03:30,503.1232105
B,29/05/2016 03:45,502.9865451
B,29/05/2016 04:00,503.8515504
B,29/05/2016 04:15,504.4090464
B,29/05/2016 04:30,503.8821573
B,29/05/2016 04:45,502.9811802
B,29/05/2016 05:00,502.3866781
B,29/05/2016 05:15,502.2011011
B,29/05/2016 05:30,500.5237383
B,29/05/2016 05:45,501.5576117
B,29/05/2016 06:00,501.9809423
B,29/05/2016 06:15,504.0797981
B,29/05/2016 06:30,505.9220041
B,29/05/2016 06:45,505.2948032
B,29/05/2016 07:00,503.9941458
B,29/05/2016 07:15,505.5823111
B,29/05/2016 07:30,506.2487739
B,29/05/2016 07:45,505.6424243
B,29/05/2016 08:00,506.5807017
B,29/05/2016 08:15,505.2441447
B,29/05/2016 08:30,507.0338984
B,29/05/2016 08:45,505.4861255
B,29/05/2016 09:00,507.0563546
B,29/05/2016 09:15,505.8282167
B,29/05/2016 09:30,504.8716679
B,29/05/2016 09:45,506.6178478
B,29/05/2016 10:00,506.5571907
B,29/05/2016 10:15,505.5057549
B,29/05/2016 10:30,504.3231456
B,29/05/2016 10:45,503.0007632
B,29/05/2016 11:00,502.2679295
B,29/05/2016 11:15,500.7909197
B,29/05/2016 11:30,500.9904209
B,29/05/2016 11:45,500.8856784
B,29/05/2016 12:00,498.6590714
B,29/05/2016 12:15,500.8116779
B,29/05/2016 12:30,498.0950167
B,29/05/2016 12:45,497.1456918
B,29/05/2016 13:00,496.2240752
B,29/05/2016 13:15,494.9975906
B,29/05/2016 13:30,494.7650972
B,29/05/2016 13:45,494.3329302
B,29/05/2016 14:00,494.7168474
B,29/05/2016 14:15,496.2022187
B,29/05/2016 14:30,497.1356408
B,29/05/2016 14:45,495.6054744
B,29/05/2016 15:00,494.5084593
B,29/05/2016 15:15,493.8658523
B,29/05/2016 15:30,496.5904524
B,29/05/2016 15:45,495.7949769
B,29/05/2016 16:00,496.9092401
B,29/05/2016 16:15,498.5523014
B,29/05/2016 16:30,498.9257167
B,29/05/2016 16:45,498.6811188
B,29/05/2016 17:00,499.5462086
B,29/05/2016 17:15,501.1176235
B,29/05/2016 17:30,499.6057975
B,29/05/2016 17:45,499.5612788
B,29/05/2016 18:00,500.6190735
B,29/05/2016 18:15,500.9127819
B,29/05/2016 18:30,501.8801839
B,29/05/2016 18:45,504.3603133
B,29/05/2016 19:00,502.8622661
B,29/05/2016 19:15,503.9193149
B,29/05/2016 19:30,502.6565231
B,29/05/2016 19:45,501.6256821
B,29/05/2016 20:00,501.4509637
B,29/05/2016 20:15,500.2880206
B,29/05/2016 20:30,500.1565649
B,29/05/2016 20:45,501.3625369
B,29/05/2016 21:00,500.0630344
B,29/05/2016 21:15,501.7926821
B,29/05/2016 21:30,503.4193341
B,29/05/2016 21:45,502.7538884
B,29/05/2016 22:00,505.176439
B,29/05/2016 22:15,505.5677441
B,29/05/2016 22:30,506.0633814
B,29/05/2016 22:45,505.7312441
B,29/05/2016 23:00,505.9906441
B,29/05/2016 23:15,508.0139625
B,29/05/2016 23:30,506.8618401
B,29/05/2016 23:45,507.6716198
B,30/05/2016 00:00,508.4473468
B,30/05/2016 00:15,507.6440545
B,30/05/2016 00:30,509.5641338
B,30/05/2016 00:45,512.0028468
B,30/05/2016 01:00,514.1514049
B,30/05/2016 01:15,515.3211413
B,30/05/2016 01:30,513.5455395
B,30/05/2016 01:45,511.5523587
B,30/05/2016 02:00,512.9264097
B,30/05/2016 02:15,515.4574358
B,30/05/2016 02:30,517.1332525
B,30/05/2016 02:45,515.4057772
B,30/05/2016 03:00,516.9133467
B,30/05/2016 03:15,517.3368279
B,30/05/2016 03:30,518.2346286
B,30/05/2016 03:45,518.740015
B,30/05/2016 04:00,520.6778866
B,30/05/2016 04:15,522.2782287
B,30/05/2016 04:30,521.8396631
B,30/05/2016 04:45,521.1479839
B,30/05/2016 05:00,521.1492121
B,30/05/2016 05:15,520.0665007
B,30/05/2016 05:30,520.0902711
B,30/05/2016 05:45,520.5135621
B,30/05/2016 06:00,521.5791061
B,30/05/2016 06:15,524.2892006
B,30/05/2016 06:30,523.7919685
B,30/05/2016 06:45,525.3582219
B,30/05/2016 07:00,525.0232207
B,30/05/2016 07:15,523.919446
B,30/05/2016 07:30,523.4941097
B,30/05/2016 07:45,523.1485982
B,30/05/2016 08:00,522.2483711
B,30/05/2016 08:15,522.5615535
B,30/05/2016 08:30,521.7703828
B,30/05/2016 08:45,522.3600121
B,30/05/2016 09:00,522.4822397
B,30/05/2016 09:15,523.2910783
B,30/05/2016 09:30,522.8484414
B,30/05/2016 09:45,523.1098462
B,30/05/2016 10:00,521.4972786
B,30/05/2016 10:15,520.4855816
B,30/05/2016 10:30,519.4389551
B,30/05/2016 10:45,521.2496762
B,30/05/2016 11:00,519.204583
B,30/05/2016 11:15,520.5493567
B,30/05/2016 11:30,522.4667067
B,30/05/2016 11:45,523.6902042
B,30/05/2016 12:00,522.9920375
B,30/05/2016 12:15,522.7089751
B,30/05/2016 12:30,522.5198194
B,30/05/2016 12:45,523.5910113
B,30/05/2016 13:00,523.1362417
B,30/05/2016 13:15,522.9936435
B,30/05/2016 13:30,521.1950705
B,30/05/2016 13:45,519.4878704
B,30/05/2016 14:00,519.7009157
B,30/05/2016 14:15,518.5044303
B,30/05/2016 14:30,518.9684407
B,30/05/2016 14:45,517.8571811
B,30/05/2016 15:00,516.5611773
B,30/05/2016 15:15,513.8629471
B,30/05/2016 15:30,514.0437775
B,30/05/2016 15:45,513.7186994
B,30/05/2016 16:00,514.2145177
B,30/05/2016 16:15,515.3590705
B,30/05/2016 16:30,516.5523808
B,30/05/2016 16:45,517.9429559
B,30/05/2016 17:00,519.5993226
B,30/05/2016 17:15,521.5051446
B,30/05/2016 17:30,521.5728534
B,30/05/2016 17:45,521.1299462
B,30/05/2016 18:00,522.983731
B,30/05/2016 18:15,523.8866903
B,30/05/2016 18:30,524.0626644
B,30/05/2016 18:45,524.0767448
B,30/05/2016 19:00,525.2717991
B,30/05/2016 19:15,524.3429142
B,30/05/2016 19:30,526.1772519
B,30/05/2016 19:45,526.4310259
B,30/05/2016 20:00,526.7955392
B,30/05/2016 20:15,527.2098623
B,30/05/2016 20:30,526.6826928
B,30/05/2016 20:45,526.015932
B,30/05/2016 21:00,528.1082947
B,30/05/2016 21:15,528.6352877
B,30/05/2016 21:30,526.5618128
B,30/05/2016 21:45,526.4949231
B,30/05/2016 22:00,525.1826637
B,30/05/2016 22:15,525.6861552
B,30/05/2016 22:30,524.989612
B,30/05/2016 22:45,525.0257859
B,30/05/2016 23:00,525.3865229
B,30/05/2016 23:15,526.8242244
B,30/05/2016 23:30,528.6773829
B,30/05/2016 23:45,526.6220698
